album_name,track_title,track_n,lyric,line
midnights,lavendar haze,1,Meet me at midnight,1
midnights,lavendar haze,1,Staring at the ceiling with you,2
midnights,lavendar haze,1,"Oh, you don't ever say too much",3
midnights,lavendar haze,1,And you don't really read into,4
midnights,lavendar haze,1,My melancholia,5
midnights,lavendar haze,1,"I been under scrutiny (Yeah, oh, yeah)",6
midnights,lavendar haze,1,"You handle it beautifully (Yeah, oh, yeah)",7
midnights,lavendar haze,1,"All this shit is new to me (Yeah, oh, yeah)",8
midnights,lavendar haze,1,I feel the lavender haze creeping up on me,9
midnights,lavendar haze,1,Surreal,10
midnights,lavendar haze,1,I'm damned if I do give a damn what people say,11
midnights,lavendar haze,1,No deal,12
midnights,lavendar haze,1,The 1950s shit they want from me,13
midnights,lavendar haze,1,I just wanna stay in that lavender haze,14
midnights,lavendar haze,1,All they keep asking me (All they keep asking me),15
midnights,lavendar haze,1,Is if I'm gonna be your bride,16
midnights,lavendar haze,1,The only kinda girl they see (Only kinda girl they see),17
midnights,lavendar haze,1,Is a one-night or a wife,18
midnights,lavendar haze,1,"I find it dizzying (Yeah, oh, yeah)",19
midnights,lavendar haze,1,"They're bringing up my history (Yeah, oh, yeah)",20
midnights,lavendar haze,1,"But you weren't even listening (Yeah, oh, yeah)",21
midnights,lavendar haze,1,I feel the lavender haze creepin' up on me,22
midnights,lavendar haze,1,Surreal,23
midnights,lavendar haze,1,I'm damned if I do give a damn what people say,24
midnights,lavendar haze,1,No deal,25
midnights,lavendar haze,1,The 1950s shit they want from me,26
midnights,lavendar haze,1,I just wanna stay in that lavender haze,27
midnights,lavendar haze,1,That lavender haze,28
midnights,lavendar haze,1,Talk your talk and go viral,29
midnights,lavendar haze,1,I just need this love spiral,30
midnights,lavendar haze,1,Get it off your chest,31
midnights,lavendar haze,1,Get it off my desk (Get it off my desk),32
midnights,lavendar haze,1,Talk your talk and go viral,33
midnights,lavendar haze,1,I just need this love spiral,34
midnights,lavendar haze,1,Get it off your chest,35
midnights,lavendar haze,1,Get it off my desk,36
midnights,lavendar haze,1,"I feel (I feel), the lavender haze creeping up on me",37
midnights,lavendar haze,1,Surreal,38
midnights,lavendar haze,1,I'm damned if I do give a damn what people say,39
midnights,lavendar haze,1,No deal (No deal),40
midnights,lavendar haze,1,The 1950s shit they want from me,41
midnights,lavendar haze,1,I just wanna stay in that lavender haze,42
midnights,lavendar haze,1,Get it off your chest,43
midnights,lavendar haze,1,Get it off my desk,44
midnights,lavendar haze,1,That lavender haze,45
midnights,lavendar haze,1,I just wanna stay,46
midnights,lavendar haze,1,I just wanna stay in that lavender haze,47
midnights,maroon,2,When the morning came,1
midnights,maroon,2,We were cleaning incense off your vinyl shelf,2
midnights,maroon,2,Cause we lost track of time again,3
midnights,maroon,2,Laughing with my feet in your lap,4
midnights,maroon,2,Like you were my closest friend,5
midnights,maroon,2,"How'd we end up on the floor, anyway? you say",6
midnights,maroon,2,"Your roommate's cheap-ass screw-top rosé, that's how",7
midnights,maroon,2,I see you every day now,8
midnights,maroon,2,And I chose you,9
midnights,maroon,2,The one I was dancing with,10
midnights,maroon,2,"In New York, no shoes",11
midnights,maroon,2,Looked up at the sky and it was,12
midnights,maroon,2,The burgundy on my t-shirt,13
midnights,maroon,2,When you splashed your wine into me,14
midnights,maroon,2,And how the blood rushed into my cheeks,15
midnights,maroon,2,"So scarlet, it was",16
midnights,maroon,2,The mark thеy saw on my collarbone,17
midnights,maroon,2,The rust that grew bеtween telephones,18
midnights,maroon,2,The lips I used to call home,19
midnights,maroon,2,"So scarlet, it was maroon",20
midnights,maroon,2,When the silence came,21
midnights,maroon,2,"We were shaking, blind and hazy",22
midnights,maroon,2,How the hell did we lose sight of us again?,23
midnights,maroon,2,Sobbing with your head in your hands,24
midnights,maroon,2,Ain't that the way shit always ends?,25
midnights,maroon,2,You were standing hollow-eyed in the hallway,26
midnights,maroon,2,"Carnations you had thought were roses, that's us",27
midnights,maroon,2,"I feel you, no matter what",28
midnights,maroon,2,The rubies that I gave up,29
midnights,maroon,2,And I lost you,30
midnights,maroon,2,The one I was dancing with,31
midnights,maroon,2,"In New York, no shoes",32
midnights,maroon,2,Looked up at the sky and it was (Maroon),33
midnights,maroon,2,The burgundy on my t-shirt,34
midnights,maroon,2,When you splashed your wine into me,35
midnights,maroon,2,And how the blood rushed into my cheeks,36
midnights,maroon,2,"So scarlet, it was (Maroon)",37
midnights,maroon,2,The mark they saw on my collarbone,38
midnights,maroon,2,The rust that grew between telephones,39
midnights,maroon,2,The lips I used to call home,40
midnights,maroon,2,"So scarlet, it was maroon",41
midnights,maroon,2,And I wake with your memory over me,42
midnights,maroon,2,"That's a real fucking legacy, legacy (It was maroon)",43
midnights,maroon,2,And I wake with your memory over me,44
midnights,maroon,2,That's a real fucking legacy to leave,45
midnights,maroon,2,The burgundy on my t-shirt,46
midnights,maroon,2,When you splashed your wine into me,47
midnights,maroon,2,And how the blood rushed into my cheeks,48
midnights,maroon,2,"So scarlet, it was maroon",49
midnights,maroon,2,The mark they saw on my collarbone,50
midnights,maroon,2,The rust that grew between telephones,51
midnights,maroon,2,The lips I used to call home,52
midnights,maroon,2,"So scarlet, it was maroon",53
midnights,maroon,2,It was maroon,54
midnights,maroon,2,It was maroon,55
midnights,anti hero,3,"I have this thing where I get older, but just never wiser",1
midnights,anti hero,3,Midnights become my afternoons,2
midnights,anti hero,3,"When my depression works the graveyard shift, all of the peopleI've ghosted stand there in the room",3
midnights,anti hero,3,I should not be left to my own devices,4
midnights,anti hero,3,They come with prices and vices,5
midnights,anti hero,3,I end up in crisis,6
midnights,anti hero,3,(Tale as old as time),7
midnights,anti hero,3,I wake up screaming from dreaming,8
midnights,anti hero,3,"One day, I'll watch as you're leaving",9
midnights,anti hero,3,Cause you got tired of my scheming,10
midnights,anti hero,3,(For the last time),11
midnights,anti hero,3,"It's me, hi",12
midnights,anti hero,3,"I'm the problem, it's me",13
midnights,anti hero,3,"At teatime, everybody agrees",14
midnights,anti hero,3,"I'll stare directly at the sun, but never in the mirror",15
midnights,anti hero,3,It must be exhausting always rooting for the anti-hero,16
